country,city,company_type,address,phone
Argentina,Buenos Aires,Allianz Commercial Buenos Aires,"Buenos Aires, Avenida Corrientes 299, C1043",
Argentina,CABA Buenos Aires,Allianz Corporate CABA Buenos Aires,"Argentina, Allianz Global Benefits, Corrientes 299 - C1043AAC",
Australia,GPO Box,Allianz Corporate GPO Box,"GPO Box 4049, Australia",
Australia,Melbourne,Allianz Corporate Melbourne,"Hunter Premium Funding Ltd., Level 14, 380 St Kilda Rd, Melbourne, VIC 3004",
Australia,Sydney,Allianz Commercial Sydney,"Sydney, 10 Carrington Street, Sydney NSW 2000",
Austria,Vienna,Allianz Commercial Vienna,"Vienna, Wiedner Gürtel 9 - 13, 1100 Vienna",
Bahrain,Manama,Allianz Corporate Manama,"Building 1025, Road 3621, Block 436, Seef District, Manama, Bahrain",
Bahrain,P.O. Box,Allianz Corporate P.O. Box,"c/o Alliance Insurance PSC, 501, Al Warba Center, P.O. Box 183957",
Bahrain,United Arab Emirates,Allianz Corporate United Arab Emirates,"United Arab Emirates, NEXtCARE Holding WLL, Capital Plus Tower, 13th Floor, Office 131 & 132, Building 79, Road 2802, Block 428",+971 4 266 0019
Belgium,Berchem,Allianz Commercial Berchem,"Antwerp, Brussels, Antwerp (AGCS) office, Uitbreidingstraat 86, 2600 Berchem",
Belgium,Brussel,Allianz Commercial Brussel,"Brussels, Brussels (Allianz Benelux SA), Koning Albert II Laan 32, 1000 Brussel",+32-3-304-1600
Belgium,Brussels,Allianz Corporate Brussels,"1000 Brussels, Belgium",
Bermuda,Overbay,Allianz Corporate Overbay,"Overbay, 106 Pitts Bay Road, Bermuda",
Bermuda,Reid St,Allianz Commercial Reid St,"Bermuda, Allianz Risk Transfer AG (Bermuda Branch), Jardine House, 33-35 Reid St, Hamilton HM 12",
Bermuda,Schaan,Allianz Commercial Schaan,"Liechtenstein, Allianz Risk Transfer AG, Im alten Riet 102, 9494 Schaan",
Brazil,Rua Eugenio de Medeiros,Allianz Corporate Rua Eugenio de Medeiros,"Brazil, Allianz Trade in Brazil, Rua Eugenio de Medeiros, 303-4° Andar-Pinheiros",+55 11 40015060 | +55 11 31716171 | 05425-000
Brazil,São Bernardo do Campo-SP,Allianz Corporate São Bernardo do Campo-SP,"Brazil, Allianz Saúde S.A., Rua Eugénio de Medeiros 303",09750-730 | +55 0800 770 8020 | 05425-000
Brazil,São Paulo,Allianz Commercial São Paulo,"São Paulo, Rua Eugênio de Medeiros 303, 1st floor – Pinheiros",05425-000
Brazil,São Paulo - SP,Allianz Corporate São Paulo - SP,"Rua Eugénio de Medeiros 303, São Paulo - SP, Brazil",
Brunei,P.O. Box,Allianz Corporate P.O. Box,"P.O. Box 1251, Bandar Seri Begawan BS8672, Brunei",
Bulgaria,Sofia,Allianz Commercial Sofia,"Sofia, ZAD Allianz Bulgaria, Str. Srebarna 16, 1407 Sofia",
Bulgaria,Vienna,Allianz Corporate Vienna,"Branch Austria, Pottendorfer Strasse 23-25, 1120 Vienna",+359 2995 1843
Canada,Toronto,Allianz Commercial Toronto,"130 Adelaide Street West, Suite 2300, Toronto, ON M5H 3P5",
China,Beijing,Allianz Corporate Beijing,"Beijing, China, Guangzhou office, Room 19/F Baodi Plaza, 83 Pazhou Avenue, Haizhu District",
China,Guangzhou,Allianz Commercial Guangzhou,"Room 10, 34/F Main Tower, Guangzhou International Finance Center, No. 5",
China,Munich,Allianz Corporate Munich,"Koeniginstrasse 28, 80802 Munich",
China,No.,Allianz Corporate No.,"No.1366, Lujiazui Ring Road, Pudong New Area",
China,Shanghai,Allianz Corporate Shanghai,"Shanghai 200120, China",
China,Shanghai Pudong,Allianz Corporate Shanghai Pudong,"Shanghai Branch Global Automotive, Aurora Plaza 25F04 Fucheng Road 99, Shanghai Pudong 200120",
Colombia,Bogota D.C.,Allianz Corporate Bogota D.C.,"Colombia, Solunion (Joint venture Euler Hermes / MAPFRE), Calle 7 Sur No. 42 – 70 - Bogota D.C., Fórum II Piso 8- Medellin",+57 1 7 452 121 | +57 1 5 616 695
Colombia,Bogotá,Allianz Commercial Bogotá,"Bogotá, Carrera 13A #29-24 - piso 17 - ala Sur",
Croatia,Zagreb,Allianz Commercial Zagreb,"Allianz Hrvatska d.d., Heinzelova 70, 10000 Zagreb",
Cyprus,Nicosia,Allianz Corporate Nicosia,"1075 Nicosia, Cyprus",
Czech Republic,Karlín,Allianz Commercial Karlín,"Allianz pojišťovna, a. s., Ke Štvanici 656/3, 186 00 Karlín",
Czech Republic,Prague,Allianz Technology Prague,"Prague, Allianz Technology S.R.O., 'Ke Štvanici 656/3, Karlín, 186 00 Praha 8, Czech Republic",
Egypt,New Cairo,Allianz Corporate New Cairo,"Business Park A, Building A1 - Cairo Festival City, New Cairo, Cairo Governorate, Egypt",
Egypt,NEXtCARE,Allianz Corporate NEXtCARE,"Building A1, Plot No. 14B01",
France,Puteaux,Allianz Commercial Puteaux,"Paris, Tour Allianz One, Esplanade Sud – Quartier Michelet, 1 Cours Michelet, 92800 Puteaux",
France,Saint-Ouen (Paris),Allianz Technology Saint-Ouen (Paris),"Saint-Ouen (Paris), Allianz Technology SAS, 1 Cours Michelet, Cs 30051, 92076 Paris La Défense Cedex",
France,St-Ouen,Allianz Corporate St-Ouen,"France, Allianz Technology, 93400 St-Ouen",1 151-161
French Guyana,Cayenne,Allianz Corporate Cayenne,"97300 Cayenne, French Guiana",
Germany,Berlin,Allianz Corporate Berlin,"Deutsche Lebensversicherungs-AG, Merlitzstr. 8, 12489 Berlin",
Germany,Munich,Allianz Corporate Munich,"80802 Munich, Germany",
