business_unit,country,office_name,office_type,city,address,postcode,phone,email,website,source_url,source_page,notes
Allianz Corporate,USA,"Allianz Life Insurance, North America",office,Minneapolis,"P.O. Box 1344, Minneapolis, USA",1344,+1 800 9505 872,,www.allianzlife.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,"Allianz Life Insurance, North America",office,MN 55416-1297,"MN 55416-1297, USA",1297,+1 800 9505 872,,www.allianzlife.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Capital Partners of America LLC,contact,Broadway,"1633 Broadway, New York, NY 10019, United States of America",10019,+1 212 739 3600,,www.allianzcapitalpartners.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Commercial,contact,Alpharetta,"Alpharetta office, 100 Northpoint Center, STE 320, Alpharetta, GA 30022, United States of America",30022,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Chicago office,contact,Chicago,"155 North Wacker Dr, STE 2700, Chicago, IL 60606, United States of America",60606,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Houston office,contact,West Loop South,"2000 West Loop South, Houston, TX 77027, United States of America",77027,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,New York office,contact,New York,"28 Liberty Street, 24th Floor, New York, NY 10005, United States of America",10005,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Saint Louis office,contact,O'Fallon,"Visitor address:, 1 Progress Point Parkway, Suite 200, O'Fallon, MO 63368, United States of America",63368,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Postal address:,contact,O'Fallon,"PO Box 970, O'Fallon, MO 63366-0970, United States of America",0970,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Global Assistance USA,contact,Mayland Drive,"9950 Mayland Drive, Richmond, VA 23233, USA",23233,+1 800 6284 908,,www.allianzworldwidepartners.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Global Investors U.S. Holdings LLC,contact,Broadway,"1633 Broadway, New York, NY 10019-7585, USA",7585,+1 212 739 3300,,www.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Real Estate of America LLC,contact,New York,"New York, 60 East 42nd Street, Suite 3710, New York, NY 10165, USA",10165,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Burbank,contact,West Empire Drive,"2350 West Empire Drive, Suite 200, Burbank, CA 91504, USA",91504,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Alpharetta,contact,Great Oaks Way,"11475 Great Oaks Way, 2nd Floor, Alpharetta, GA 30022, USA",30022,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Risk Transfer (Bermuda Branch),contact,Overbay,"Overbay, 106 Pitts Bay Road, Bermuda, HM 08, Bermuda, USA",,+1-441-295-4722,,www.agcs.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Services United States NYC Hub,contact,Liberty Street 28,Liberty Street 28,,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,"New York City, New York",contact,Chicago,"United States, Allianz Technology, Chicago, 125 S Clark Street, Chicago, IL 60603",60603,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Minneapolis,contact,Minneapolis,"729 N Washington Ave, Suite 600, Minneapolis, MN 55401",55401,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Bay Area,contact,Mill Valley,"1 Belvedere Drive, Mill Valley, CA 94941",94941,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Richmond,contact,Mayland Drive,"9950 Mayland Drive, Richmond, VA 23233",23233,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Trade in North America,contact,22nd Floor,"100 International Drive, 22nd Floor",,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Baltimore,contact,MD 21202,MD 21202,21202,+1 877 883 3224,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,PIMCO,contact,Newport Beach,"650 Newport Center Drive, Newport Beach, CA 92660, USA",92660,+1 949 720 6000 | +1 949 720 1376,,www.pimco.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,Austria,Allianz Elementar Versicherungs-Aktiengesellschaft and Allianz Elementar Lebensversicherungs-Aktiengesellschaft,office,Vienna,"Wiedner Gürtel 9–13, 1100 Vienna, Austria",1100,+43 5 9009 0,,www.allianz.at,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Acredia Versicherung AG,contact,Vienna,"Himmelpfortgasse 29, 1010 Vienna, Austria",1010,43 5 01 02-0,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
