country,city,company_type,address,phone
Argentina,Buenos Aires,Allianz Corporate Buenos Aires,"Argentina, Solunion, Corrientes 299 - C1043AAC CBA",+54 11 43203826
Argentina,CABA Buenos Aires,Allianz Corporate CABA Buenos Aires,"Argentina, Allianz Global Benefits, Corrientes 299 - C1043AAC",
Australia,Brisbane,Allianz Corporate Brisbane,"office, Level 6/324 Queens Street, Brisbane, QLD 4000, Australia",+61 7 3023 7197
Australia,GPO Box,Allianz Corporate GPO Box,"GPO Box 4049, Australia",+61 7 3023 9322
Australia,Melbourne,Allianz Corporate Melbourne,"office, Lvl 5, 360 Elizabeth Street, Melbourne, VIC 3000, Australia",+61 3 9224 3811
Australia,North Sydney,Allianz Corporate North Sydney,"Allianz Technology in Australia, Level 9, 101 Miller Street, North Sydney, NSW 2060, Australia",
Australia,Sydney,Allianz Corporate Sydney,"Sydney, NSW 2001, Australia",+61 7 3023 9322
Austria,Vienna,Allianz Corporate Vienna,"Wiedner Gürtel 9–13, 1100 Vienna, Austria",+43 5 9009 0
Austria,Wien,Allianz Corporate Wien,"Allianz Pensionskasse AG, Wiedner Gürtel 9-13, 1100 Wien, Austria",+43 1 546 22 568
Bahrain,P.O. Box,Allianz Corporate P.O. Box,"c/o Alliance Insurance PSC, 501, Al Warba Center, P.O. Box 183957",
Belgium,Berchem,Allianz Corporate Berchem,"Uitbreidingstraat 86, 2600 Berchem, Belgium",
Belgium,Brussels,Allianz Corporate Brussels,"Koning Albert II Laan 32, 1000 Brussels, Belgium",+32 2 2146111 | +32 2 2146274
Belgium,Brüssel,Allianz Corporate Brüssel,"Koning Albert II Laan 32, 1000 Brüssel",
Bermuda,Overbay,Allianz Corporate Overbay,"Overbay, 106 Pitts Bay Road, Bermuda, HM 08",
Brazil,R. José Versolato,Allianz Corporate R. José Versolato,"R. José Versolato, 101, Torre A – 9º andar - Centro",
Brazil,Rua Eugenio de Medeiros,Allianz Corporate Rua Eugenio de Medeiros,"Brazil, Allianz Trade in Brazil, Rua Eugenio de Medeiros, 303-4° Andar-Pinheiros, Sao Paulo / SP 05425-000",+55 11 40015060 | +55 11 31716171 | +55 11 30652260
Brazil,São Bernardo do Campo-SP,Allianz Corporate São Bernardo do Campo-SP,"Brazil, Allianz Saúde S.A., Rua Eugénio de Medeiros 303, CEP 05425-000",09750-730 | +55 0800 770 8020
Brazil,São Paulo,Allianz Corporate São Paulo,"Rua Eugênio de Medeiros 303, 1st floor – Pinheiros, São Paulo, 05425-000, Brazil",
Brunei,P.O. Box,Allianz Corporate P.O. Box,"Unit 12 & 13, Block A, Regent Square, Simpang 150, Kampong Kiarong BE1318, P.O. Box 1251, Bandar Seri Begawan BS8672",+673 242-6888 | +673 222-6222 | +673 223-3999 | +673 242-9888
Bulgaria,Sofia,Allianz Corporate Sofia,"Str. Srebarna 16, 1407 Sofia, Bulgaria",+359 700 13 014
Bulgaria,Vienna,Allianz Corporate Vienna,"Branch Austria, Pottendorfer Strasse 23-25, 1120 Vienna",+359 2995 1843
Cameroon,Douala,Allianz Corporate Douala,"Rue Manga Bell, BP 105, Douala",
China,Beijing,Allianz Corporate Beijing,"Beijing 100123, China",+86 10 8535 5588
