business_unit,country,office_name,office_type,city,address,postcode,phone,email,website,source_url,source_page,notes
Allianz Corporate,USA,"Allianz Life Insurance, North America",office,Minneapolis,"P.O. Box 1344, Minneapolis, USA",1344,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Capital Partners of America LLC,contact,Broadway,"1633 Broadway, New York, NY 10019",10019,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,"New York City, New York",contact,Chicago,"United States, Allianz Technology, Chicago, 125 S Clark Street, Chicago, IL 60603",60603,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Minneapolis,contact,Minneapolis,"729 N Washington Ave, Suite 600, Minneapolis, MN 55401",55401,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Bay Area,contact,Mill Valley,"1 Belvedere Drive, Mill Valley, CA 94941",94941,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Richmond,contact,Mayland Drive,"9950 Mayland Drive, Richmond, VA 23233",23233,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Allianz Trade in North America,contact,22nd Floor,"100 International Drive, 22nd Floor",,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,Baltimore,contact,Allianz Trade is the trademark used to designate a range of services provided by Euler Hermes.,"MD 21202, Allianz Trade is the trademark used to designate a range of services provided by Euler Hermes.",21202,+1 877 883 3224,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,USA,PIMCO,contact,Newport Beach,"650 Newport Center Drive, Newport Beach, CA 92660",92660,,,,https://www.allianz.com/en/about-us/company/contact/usa.html,USA | Allianz,
Allianz Corporate,Austria,Allianz Elementar Versicherungs-Aktiengesellschaft and Allianz Elementar Lebensversicherungs-Aktiengesellschaft,office,Wiedner Gürtel 9–13,Wiedner Gürtel 9–13,,,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Elementar Versicherungs-Aktiengesellschaft and Allianz Elementar Lebensversicherungs-Aktiengesellschaft,office,Vienna,"1100 Vienna, Austria, Send email, As a customer please find an overview of products and services here:, Products & Services",1100,,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Acredia Versicherung AG,contact,Vienna,"Himmelpfortgasse 29, 1010 Vienna",1010,,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Belgium,Allianz Benelux SA,office,Koning Albert II Laan 32,Koning Albert II Laan 32,,,,,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz Benelux SA,office,Brussels,"1000 Brussels, Belgium, As a customer please find an overview of products and services here:, Products & Services",1000,,,,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz Commercial,contact,Berchem,"Uitbreidingstraat 86, 2600 Berchem",2600,,,,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Belgien,contact,Brussels,"Send email, Allianz Technology SE, Koning Albert II Laan 32, 1000 Brussels",1000,+32 2 529 7670,,www.allianz-assistance.be,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Bulgaria,Allianz Bulgaria Holding,office,Str. Srebarna 16,"Str. Srebarna 16, Bulgaria",,,,,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Bulgaria,Allianz Bulgaria Holding,office,Sofia,"1407 Sofia, Bulgaria",1407,,,,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Bulgaria,Allianz Partners,contact,Vienna,"Branch Austria, Pottendorfer Strasse 23-25, 1120 Vienna",1120,+359 2995 1843,,www.allianz-assistance.bg,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Bulgaria,Allianz Trade in Bulgaria,contact,Sofia,"Pl. ""Positano"" 2, Performance Business Center,, fl. 5, Sofia, 1000,",1000,,,,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Croatia,Allianz Hrvatska d.d.,office,Heinzelova 70,Heinzelova 70,,,,,https://www.allianz.com/en/about-us/company/contact/croatia.html,Croatia | Allianz,
Allianz Corporate,Croatia,Allianz Hrvatska d.d.,office,Zagreb,"10000 Zagreb, Croatia, Send email",10000,,,,https://www.allianz.com/en/about-us/company/contact/croatia.html,Croatia | Allianz,
Allianz Corporate,Croatia,Allianz ZB d.o.o. (Voluntary and Obligatory Pension Fund Company),contact,Zagreb,"Heinzelova 70, 10000 Zagreb",10000,,,,https://www.allianz.com/en/about-us/company/contact/croatia.html,Croatia | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Floor,"The Globe House, Kennedy Avenue 23, 3, rd, Floor",,,,,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Nicosia,"1075 Nicosia, Cyprus",1075,,,,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Send e-mail 1,Send e-mail 1,,,,,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Send e-mail 2,Send e-mail 2,,,,,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Czech Republic,"Allianz pojistovna, a.s.",office,Ke Stvanici 656/3,Ke Stvanici 656/3,,,,,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Czech Republic,"Allianz pojistovna, a.s.",office,Send email,"186 00 Praha 8, Czech Republic, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Czech Republic,Allianz Partners,contact,170 00 Praha 7,170 00 Praha 7,,Jankovcova 1596/14b,,,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,France,Allianz France,office,1 cours Michelet – CS 30051,1 cours Michelet – CS 30051,30051,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz France,office,Paris La Défense Cedex,"92076 Paris La Défense Cedex, France, Send email",92076,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Africa,contact,Paris La Défense Cedex,"1 cours Michelet – CS 30051, 92076 Paris La Défense Cedex",92076,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,"Allianz Global Investors GmbH, France Branch",contact,Paris Cedex,"3 Boulevard des Italiens, Case Courrier P401, CS 70264, 75118 Paris Cedex",75118,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,"La Défense, Paris",contact,St-Ouen,"France, Allianz Technology, 93400 St-Ouen",93400,"Eurosquare 1 151-161, boulebvard Victor Hugo",,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Tour Neptune,contact,Paris,92086 Paris,92086,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Cours Michelet,contact,Paris La Défense,92176 Paris La Défense,92176,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,Germany,Allianz Deutschland AG,office,Koeniginstrasse 28,"Koeniginstrasse 28, Germany",,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Deutschland AG,office,Munich,"80802 Munich, Germany",80802,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,ADEUS Aktienregister-Service-GmbH,contact,Munich,"Koeniginstrasse 28, 80802 Munich",80802,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Technology SE,contact,München,"Koeniginstr. 28, 80802 München",80802,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Send email,contact,Berlin,"Deutsche Lebensversicherungs-AG, Merlitzstr. 8, 12489 Berlin",12489,,,www.azt-automotive.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Greece,Allianz European Reliance Single Member Insurance S.A.,office,Kifisias Ave.,"274, Kifisias Ave., Greece",,,,,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Greece,Allianz European Reliance Single Member Insurance S.A.,office,152 32 Chalandri,"152 32 Chalandri, Greece",,,,,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Greece,Allianz Single Member Mutual Fund Management S.A.,contact,Building C,"Athinon Ave. 110, Building C, 104 42 Athens",,,,,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Guernsey,Hauteville Insurance Company Ltd.,office,34 Les Canichers,34 Les Canichers,,,,,https://www.allianz.com/en/about-us/company/contact/guernsey.html,Guernsey | Allianz,
Allianz Corporate,Guernsey,Hauteville Insurance Company Ltd.,office,Send email,"St Peter Port, Guernsey GY1 2 LT, Channel Islands, Guernsey, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/guernsey.html,Guernsey | Allianz,
Allianz Corporate,Hungary,Allianz Hungária Zrt.,office,Könyves Kálmán krt. 48-52,Könyves Kálmán krt. 48-52,,,,,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
